ID,Prediction
0,3
1,0
2,3
3,1
4,3
5,3
6,3
7,1
8,3
9,1
10,3
11,1
12,3
13,3
14,3
15,0
16,3
17,3
18,3
19,0
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,1
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,2
43,3
44,1
45,3
46,3
47,3
48,3
49,3
50,3
51,1
52,3
53,0
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,0
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,0
84,3
85,3
86,3
87,3
88,0
89,1
90,3
91,3
92,1
93,3
94,0
95,2
96,3
97,3
98,3
99,0
100,3
101,1
102,1
103,0
104,2
105,1
106,3
107,3
108,3
109,2
110,1
111,1
112,3
113,3
114,3
115,3
116,1
117,3
118,1
119,3
120,3
121,1
122,2
123,1
124,1
125,3
126,3
127,3
128,1
129,0
130,3
131,3
132,1
133,3
134,3
135,3
136,1
137,3
138,3
139,3
140,3
141,1
142,1
143,3
144,1
145,0
146,3
147,3
148,3
149,0
150,1
151,3
152,1
153,1
154,0
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,1
168,1
169,3
170,3
171,3
172,1
173,1
174,3
175,3
176,3
177,1
178,1
179,3
180,3
181,3
182,3
183,0
184,3
185,3
186,3
187,2
188,1
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,1
197,1
198,3
199,3
200,0
201,1
202,3
203,3
204,0
205,1
206,1
207,3
208,3
209,3
210,3
211,3
212,0
213,0
214,0
215,3
216,3
217,0
218,1
219,3
220,3
221,3
222,1
223,0
224,3
225,3
226,3
227,3
228,0
229,3
230,3
231,0
232,0
233,3
234,3
235,3
236,1
237,3
238,3
239,3
240,0
241,0
242,1
243,0
244,3
245,1
246,1
247,0
248,1
249,3
250,3
251,3
252,0
253,3
254,0
255,0
256,3
257,3
258,3
259,1
260,3
261,0
262,3
263,0
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,1
273,3
274,3
275,3
276,2
277,3
278,3
279,3
280,3
281,3
282,0
283,3
284,3
285,0
286,1
287,3
288,0
289,0
290,3
291,1
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,1
300,1
301,3
302,3
303,3
304,3
305,2
306,3
307,3
308,1
309,3
310,3
311,3
312,3
313,3
314,3
315,1
316,3
317,3
318,3
319,3
320,3
321,2
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,1
339,1
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,1
353,3
354,3
355,3
356,1
357,3
358,3
359,0
360,3
361,0
362,3
363,3
364,3
365,3
366,1
367,3
368,3
369,1
370,3
371,1
372,0
373,3
374,3
375,3
376,1
377,3
378,3
379,3
380,3
381,3
382,3
383,0
384,3
385,1
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,0
394,3
395,3
396,1
397,3
398,3
399,0
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,1
411,3
412,3
413,3
414,1
415,1
416,3
417,3
418,0
419,3
420,1
421,1
422,3
423,3
424,3
425,0
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,0
436,1
437,3
438,3
439,3
440,1
441,3
442,1
443,0
444,0
445,1
446,3
447,3
448,3
449,1
450,0
451,0
452,3
453,3
454,3
455,3
456,3
457,1
458,1
459,0
460,3
461,2
462,3
463,1
464,1
465,3
466,1
467,1
468,1
469,0
470,3
471,3
472,1
473,3
474,3
475,3
476,1
477,0
478,3
479,3
480,3
481,3
482,1
483,3
484,1
485,1
486,0
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,0
497,3
498,3
499,0
500,3
501,1
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,1
511,3
512,1
513,3
514,3
515,1
516,1
517,3
518,3
519,3
520,0
521,3
522,1
523,0
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,0
538,0
539,3
540,0
541,0
542,3
543,3
544,0
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,0
562,3
563,1
564,2
565,3
566,3
567,0
568,1
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,0
581,0
582,3
583,3
584,1
585,1
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,0
595,0
596,0
597,3
598,3
599,0
600,1
601,3
602,3
603,3
604,3
605,3
606,3
607,0
608,1
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,0
620,0
621,3
622,3
623,3
624,3
625,3
626,3
627,3
628,0
629,1
630,1
631,0
632,3
633,3
634,1
635,3
636,3
637,1
638,3
639,0
640,3
641,0
642,0
643,1
644,1
645,1
646,3
647,1
648,3
649,1
650,3
651,0
652,3
653,3
654,1
655,1
656,3
657,3
658,1
659,3
660,3
661,3
662,3
663,3
664,1
665,3
666,1
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,1
676,3
677,3
678,3
679,1
680,2
681,3
682,0
683,3
684,3
685,3
686,3
687,2
688,3
689,3
690,1
691,3
692,0
693,0
694,0
695,0
696,3
697,3
698,1
699,1
700,3
701,1
702,3
703,1
704,3
705,1
706,3
707,3
708,1
709,3
710,3
711,3
712,3
713,1
714,1
715,3
716,3
717,3
718,3
719,3
720,3
721,1
722,3
723,1
724,3
725,3
726,3
727,3
728,1
729,0
730,3
731,3
732,0
733,3
734,3
735,3
736,3
737,3
738,3
739,3
740,1
741,0
742,3
743,1
744,1
745,0
746,1
747,3
748,3
749,1
750,1
751,3
752,3
753,1
754,3
755,1
756,3
757,3
758,3
759,0
760,1
761,3
762,2
763,1
764,3
765,3
766,1
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,1
776,3
777,3
778,2
779,3
780,1
781,1
782,1
783,1
784,1
785,1
786,3
787,3
788,3
789,3
790,3
791,3
792,3
793,3
794,3
795,3
796,1
797,1
798,1
799,3
800,1
801,3
802,0
803,3
804,0
805,3
806,3
807,0
808,1
809,1
810,3
811,0
812,3
813,3
814,1
815,0
816,1
817,1
818,1
819,3
820,3
821,1
822,3
823,1
824,1
825,1
826,0
827,3
828,3
829,0
830,3
831,3
832,3
833,3
834,3
835,1
836,1
837,3
838,3
839,3
840,1
841,3
842,3
843,3
844,1
845,3
846,3
847,1
848,3
849,1
850,3
851,3
852,1
853,3
854,3
855,3
856,3
857,3
858,3
859,3
860,3
861,3
862,3
863,3
864,1
865,3
866,3
867,3
868,3
869,1
870,3
871,3
872,3
873,3
874,3
875,3
876,3
877,3
878,3
879,0
880,3
881,3
882,3
883,3
884,1
885,1
886,3
887,1
888,1
889,3
890,0
891,3
892,3
893,3
894,3
895,3
896,3
897,3
898,3
899,1
900,1
901,1
902,3
903,3
904,1
905,1
906,3
907,3
908,3
909,1
910,3
911,3
912,3
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,2
921,1
922,3
923,3
924,3
925,3
926,3
927,3
928,3
929,3
930,1
931,3
932,3
933,3
934,3
935,3
936,3
937,3
938,3
939,3
940,3
941,3
942,3
943,3
944,3
945,3
946,3
947,3
948,1
949,3
950,3
951,3
952,3
953,3
954,1
955,0
956,0
957,3
958,3
959,3
960,3
961,3
962,3
963,3
964,3
965,3
966,0
967,3
968,1
969,3
970,3
971,0
972,3
973,3
974,3
975,3
976,3
977,3
978,1
979,0
980,3
981,1
982,3
983,0
984,3
985,1
986,3
987,1
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,0
996,3
997,3
998,3
999,1
1000,1
1001,1
1002,3
1003,2
1004,3
1005,3
1006,3
1007,3
1008,3
1009,0
1010,3
1011,0
1012,1
1013,3
1014,1
1015,1
1016,3
1017,3
1018,1
1019,3
1020,1
1021,1
1022,0
1023,0
1024,3
1025,3
1026,3
1027,0
1028,3
1029,3
1030,0
1031,3
1032,3
1033,0
1034,3
1035,3
1036,3
1037,3
1038,3
1039,0
1040,3
1041,3
1042,3
1043,0
1044,1
1045,3
1046,3
1047,0
1048,1
1049,3
1050,0
1051,1
1052,3
1053,3
1054,3
1055,3
1056,3
1057,3
1058,3
1059,3
1060,3
1061,1
1062,1
1063,0
1064,1
1065,0
1066,1
1067,3
1068,3
1069,3
1070,0
1071,3
1072,1
1073,0
1074,3
1075,3
1076,0
1077,1
1078,1
1079,0
1080,1
1081,3
1082,1
1083,0
1084,3
1085,1
1086,1
1087,3
1088,1
1089,1
1090,3
1091,3
1092,3
1093,3
1094,3
1095,1
1096,3
1097,3
1098,3
1099,0
1100,3
1101,3
1102,3
1103,1
1104,1
1105,0
1106,3
1107,3
1108,3
1109,0
1110,3
1111,3
1112,3
1113,0
1114,1
1115,3
1116,3
1117,3
1118,3
1119,0
1120,3
1121,3
1122,3
1123,0
1124,1
1125,1
1126,3
1127,3
1128,0
1129,0
1130,3
1131,3
1132,3
1133,0
1134,1
1135,1
1136,1
1137,3
1138,2
1139,3
1140,3
1141,1
1142,3
1143,3
1144,3
1145,0
1146,3
1147,3
1148,3
1149,1
1150,1
1151,3
1152,3
1153,3
1154,3
1155,3
1156,3
1157,3
1158,0
1159,3
1160,3
1161,3
1162,3
1163,3
1164,3
1165,1
1166,0
1167,0
1168,3
1169,1
1170,3
1171,1
1172,3
1173,1
1174,3
1175,3
1176,1
1177,3
1178,3
1179,3
1180,3
1181,1
1182,1
1183,3
1184,3
1185,3
1186,0
1187,3
1188,3
1189,3
1190,3
1191,3
1192,1
1193,3
1194,0
1195,1
1196,3
1197,3
1198,3
1199,3
1200,2
1201,1
1202,1
1203,1
1204,0
1205,3
1206,3
1207,3
1208,3
1209,3
1210,3
1211,3
1212,3
1213,3
1214,3
1215,3
1216,3
1217,3
1218,1
1219,3
1220,0
1221,3
1222,0
1223,3
1224,3
1225,0
1226,3
1227,3
1228,3
1229,3
1230,0
1231,3
1232,3
